SEQ TITLE	Sel Result	Accession	Description	Similarity[%]	Coverage[%]	Taxid	Lineage	superkingdom	kingdom	subkingdom	superphylum	phylum	subphylum	superclass	class	subclass	superorder	order	suborder	superfamily	family	subfamily	tribe	subtribe	genus	species group	species		
ASV_14,blastn,1/5,MN397035,Trebouxia sp. OTU A11 voucher 17776 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,1.21213E-149,542.189,293,1,396,281,686,372,372,93,9,100,0,396,,,		MN397035				2607447	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Trebouxia; unclassified Trebouxia	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Trebouxia				
ASV_15,blastn,1/5,GU017645,Symbiochloris symbiontica strain SAG 2070 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,9.03294E-151,545.882,295,1,380,2793,3158,355,355,93,4,99,2,383,		GU017645				531392	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Symbiochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Symbiochloris				
ASV_16,blastn,1/5,AM905997,Asterochloris gaertneri ITS1, 5.8S rRNA gene, ITS2 and 26S rRNA gene (partial), strain CAUP H1013,0,715.774,387,1,387,220,606,387,387,100,0,100,0,387,,,		AM905997				483526	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Asterochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Asterochloris				
ASV_17,blastn,1/5,KT215299,Dictyochloropsis symbiontica isolate GyngeD5b internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,0,697.307,377,1,377,207,583,377,377,100,0,100,0,377,,,		KT215299				531392	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Symbiochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Symbiochloris				
ASV_18,blastn,1/5,AJ293788,Trebouxia sp. Dornes8-1998 18S rRNA gene (partial), 5.8S rRNA gene, 26S rRNA gene (partial), ITS1 and ITS2, isolated from Physcia tenella (Scop.) DC,0,713.927,386,1,386,311,696,386,386,100,0,95,1,406,,		AJ293788				135239	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Trebouxia; unclassified Trebouxia	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Trebouxia				
ASV_19,blastn,1/5,MZ868176,Coccomyxa sp. NEM-5P internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,0,800.72,433,1,444,300,744,441,441,99,3,100,0,444,,,		MZ868176				1274662	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiophyceae incertae sedis; Elliptochloris clade; Coccomyxa	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae										Coccomyxa				
ASV_20,blastn,1/5,KX025108,Apatococcus sp. SAG 2145 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,4.58906E-149,540.342,292,1,406,2094,2500,370,370,91,1,97,8,415,		KX025108				904363	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Chlorellales; Chlorellaceae; Apatococcus	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Chlorellales			Chlorellaceae				Apatococcus				
ASV_21,blastn,1/5,KC333515,Dictyochloropsis splendida strain CAUP H8601 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence,0,682.534,369,1,381,323,703,375,375,98,4,98,4,387,		KC333515				415184	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Dictyochloropsis	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Dictyochloropsis				
ASV_22,blastn,1/5,KJ027698,Trebouxia decolorans isolate D4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence,0,784.1,424,1,424,237,660,424,424,100,0,100,0,424,,,		KJ027698				300845	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Trebouxia	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Trebouxia				
ASV_23,blastn,1/5,GU017645,Symbiochloris symbiontica strain SAG 2070 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,9.2892E-121,446.163,241,1,375,2793,3158,335,335,89,3,99,2,378,		GU017645				531392	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Symbiochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Symbiochloris				
ASV_24,blastn,1/5,MN397029,Trebouxia sp. OTU A18 voucher 17193 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,0,645.601,349,1,414,222,632,394,394,95,2,100,0,414,,,		MN397029				1660974	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Trebouxia; unclassified Trebouxia	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Trebouxia				
ASV_25,blastn,1/5,KY587808,Apatococcus sp. BG-L-92375 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence,1.23622E-139,508.949,275,1,330,245,573,314,314,95,2,82,9,398,,,		KY587808				2026831	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Chlorellales; Chlorellaceae; Apatococcus; unclassified Apatococcus	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Chlorellales			Chlorellaceae				Apatococcus				
ASV_26,blastn,1/5,KT215299,Dictyochloropsis symbiontica isolate GyngeD5b internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,1.30852E-69,276.271,149,1,383,207,583,312,312,81,5,100,0,383,,,		KT215299				531392	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Symbiochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Symbiochloris				
ASV_27,blastn,1/5,KC333511,Dictyochloropsis splendida strain SAG 2097 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence,0,699.154,378,1,387,324,710,384,384,99,2,100,0,387,		KC333511				415184	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Dictyochloropsis	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Dictyochloropsis				
ASV_28,blastn,1/5,FJ936172,Dictyochloropsis reticulata strain CCHU 5616 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence &gt;gi|557673716|gb|KC333524.1| Symbiochloris handae strain CCHU 5616 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence,1.29285E-59,243.031,131,1,227,329,562,202,202,89,0,60,7,374		FJ936172				40981	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Symbiochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Symbiochloris				
ASV_29,blastn,1/5,GU017646,Symbiochloris symbiontica strain SAG 2099 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,1.41957E-49,209.792,113,1,146,2743,2889,136,136,93,2,36,3,402,		GU017646				531392	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Symbiochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Symbiochloris				
ASV_30,blastn,1/5,KJ754205,Trebouxia sp. clade III LM-2014 isolate L1199 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence,0,695.461,376,1,406,287,692,396,396,97,5,100,0,406,,,		KJ754205				1534562	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Trebouxia; unclassified Trebouxia	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Trebouxia				
ASV_31,blastn,1/5,KX025108,Apatococcus sp. SAG 2145 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,5.95195E-148,536.649,290,1,407,2094,2500,370,370,90,9,97,8,416,		KX025108				904363	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Chlorellales; Chlorellaceae; Apatococcus	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Chlorellales			Chlorellaceae				Apatococcus				
ASV_32,blastn,1/5,MK201755,Interfilum paradoxum strain KZ-8-2-1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,0,758.247,410,1,410,1400,1809,410,410,100,0,100,0,410,		MK201755				519231	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Klebsormidiophyceae; Klebsormidiales; Klebsormidiaceae; Interfilum	Eukaryota	Viridiplantae			Streptophyta			Klebsormidiophyceae			Klebsormidiales			Klebsormidiaceae				Interfilum				
ASV_33,blastn,1/5,MZ969848,Diplosphaera chodatii isolate HP-19P internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,0,835.806,452,1,464,260,723,460,460,99,1,100,0,464,,,		MZ969848				152768	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Prasiolales; Stichococcaceae; Diplosphaera	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Prasiolales			Stichococcaceae				Diplosphaera				
ASV_34,blastn,1/5,GU017645,Symbiochloris symbiontica strain SAG 2070 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,9.03294E-151,545.882,295,1,380,2793,3158,355,355,93,4,99,2,383,		GU017645				531392	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Symbiochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Symbiochloris				
ASV_35,blastn,1/5,MN397053,Dictyochloropsis sp. 17945 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,0,684.381,370,1,373,284,656,372,372,99,7,100,0,373,,,		MN397053				2607442	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Dictyochloropsis; unclassified Dictyochloropsis	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Dictyochloropsis				
ASV_36,blastn,1/5,KY587808,Apatococcus sp. BG-L-92375 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence,1.24842E-134,492.329,266,1,330,245,573,311,311,94,2,82,7,399,,,		KY587808				2026831	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Chlorellales; Chlorellaceae; Apatococcus; unclassified Apatococcus	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Chlorellales			Chlorellaceae				Apatococcus				
ASV_37,blastn,1/5,MT872312,Diplosphaera chodatii isolate HP-56P-2018-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,0,815.493,441,1,462,258,720,456,456,98,7,100,0,462,,,		MT872312				152768	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Prasiolales; Stichococcaceae; Diplosphaera	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Prasiolales			Stichococcaceae				Diplosphaera				
ASV_38,blastn,1/5,FJ792802,Trebouxia sp. TTC1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence,0,747.167,404,1,407,437,843,406,406,99,8,100,0,407,,,		FJ792802				670669	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Trebouxia; unclassified Trebouxia	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Trebouxia				
ASV_39,blastn,1/5,KT215299,Dictyochloropsis symbiontica isolate GyngeD5b internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,2.81249E-71,281.811,152,1,383,207,583,314,314,82,0,100,0,383,,,		KT215299				531392	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Symbiochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Symbiochloris				
ASV_40,blastn,1/5,MN397053,Dictyochloropsis sp. 17945 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,2.56566E-146,531.109,287,1,388,284,656,357,357,92,0,100,0,388,,,		MN397053				2607442	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Dictyochloropsis; unclassified Dictyochloropsis	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Dictyochloropsis				
ASV_41,blastn,1/5,KY587810,Apatococcus sp. MSC0050473 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence,1.32059E-94,359.37,194,1,306,245,548,271,271,88,6,76,5,400,,,		KY587810				2026833	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Chlorellales; Chlorellaceae; Apatococcus; unclassified Apatococcus	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Chlorellales			Chlorellaceae				Apatococcus				
ASV_42,blastn,1/5,MN397053,Dictyochloropsis sp. 17945 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,7.05267E-147,532.955,288,1,384,284,656,354,354,92,2,100,0,384,,,		MN397053				2607442	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Dictyochloropsis; unclassified Dictyochloropsis	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Dictyochloropsis				
ASV_43,blastn,1/5,GU017646,Symbiochloris symbiontica strain SAG 2099 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence,1.41571E-49,209.792,113,1,146,2743,2889,136,136,93,2,36,4,401,		GU017646				531392	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Trebouxiales; Trebouxiaceae; Symbiochloris	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Trebouxiales			Trebouxiaceae				Symbiochloris				
ASV_44,blastn,1/5,MN397089,Apatococcus sp. 17332 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence,4.56663E-124,457.243,247,1,364,211,580,332,332,91,2,91,0,400,,,		MN397089				2607445	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Chlorellales; Chlorellaceae; Apatococcus; unclassified Apatococcus	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Chlorellales			Chlorellaceae				Apatococcus				
ASV_45,blastn,1/5,MT872312,Diplosphaera chodatii isolate HP-56P-2018-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,0,817.339,442,1,463,258,720,457,457,98,7,100,0,463,,,		MT872312				152768	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Prasiolales; Stichococcaceae; Diplosphaera	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Prasiolales			Stichococcaceae				Diplosphaera				
ASV_46,blastn,1/5,MZ969848,Diplosphaera chodatii isolate HP-19P internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence,0,798.873,432,1,466,260,723,456,456,97,9,100,0,466,,,		MZ969848				152768	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Trebouxiophyceae; Prasiolales; Stichococcaceae; Diplosphaera	Eukaryota	Viridiplantae			Chlorophyta			Trebouxiophyceae			Prasiolales			Stichococcaceae				Diplosphaera				
